Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-06-25,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,0.07,debit,Shopping,American Express Gold,,
2023-06-25,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,12.69,debit,Shopping,American Express Gold,,
2023-06-24,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,3849.54,credit,Transfer,American Express Gold,,
2023-06-24,ALL SEASONS EMISSIONATLANTA GA,ALL SEASONS EMISSIONATLANTA GA,30.0,debit,Service & Parts,American Express Gold,,
2023-06-24,PUBLIX #XXXX XXX0010ATLANTA GA,PUBLIX #XXXX XXX0010ATLANTA GA,97.36,debit,Groceries,American Express Gold,,
2023-06-24,ADIDAS US ONLINE STOXXX-XXX-9337 OR,ADIDAS US ONLINE STOXXX-XXX-9337 OR,98.01,debit,Clothing,American Express Gold,,
2023-06-21,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,10.25,debit,Gas & Fuel,American Express Gold,,
2023-06-20,UBER EATS SAN FRANSISCO CA,UBER EATS SAN FRANSISCO CA,24.62,debit,Food Delivery,American Express Gold,,
2023-06-18,TST* ELEVENTH STREETATLANTA GA,TST* ELEVENTH STREETATLANTA GA,9.62,debit,Restaurants,American Express Gold,,
2023-06-18,TST* THE WICKED WOLFATLANTA GA,TST* THE WICKED WOLFATLANTA GA,27.51,debit,Alcohol & Bars,American Express Gold,,
2023-06-18,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,24.7,debit,Gas & Fuel,American Express Gold,,
2023-06-17,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,10.76,debit,Gas & Fuel,American Express Gold,,
2023-06-15,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,3.97,debit,Gas & Fuel,American Express Gold,,
2023-06-13,CVS PHARMACY ATLANTA GA,CVS PHARMACY ATLANTA GA,20.4,debit,Pharmacy,American Express Gold,,
