Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-11-10,PAYPAL,PAYPAL,47.48,credit,Income,SoFi Savings,,
2023-11-10,PAYPAL,PAYPAL,32.46,credit,Electronics & Software,SoFi Savings,,
2023-11-10,PAYPAL,PAYPAL,2.69,credit,Home Supplies,SoFi Savings,,
2023-11-10,PAYPAL,PAYPAL,380.5,credit,Kratom,SoFi Savings,,
2023-11-10,PAYPAL,PAYPAL,50.0,credit,Transfer,SoFi Savings,,
2023-11-07,Zap Solutions I,"Zap Solutions, I",80.0,debit,Kratom,SoFi Savings,,
2023-11-07,Mobile Check Deposit,Mobile Check Deposit,117.5,credit,Transfer,SoFi Savings,,
2023-11-02,SOFI SECURITIES,SOFI SECURITIES,1.0,debit,Buy,SoFi Savings,,
2023-11-02,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-11-01,THE CORNERSTONE,THE CORNERSTONE,32.94,debit,Water/Sewer,SoFi Savings,,
2023-11-01,From Checking - 2849,From Checking - 2849,1.06,credit,Transfer,SoFi Savings,,
2023-11-01,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-11-01,*nikhil Katti,*nikhil Katti,5000.0,credit,Transfer,SoFi Savings,,
2023-11-01,THE CORNERSTONE,THE CORNERSTONE,402.03,debit,HOA,SoFi Savings,,
2023-11-01,STOCKTON PMT,STOCKTON PMT,22.59,debit,Home Insurance,SoFi Savings,,
2023-11-01,STOCKTON PMT,STOCKTON PMT,1285.43,debit,Mortgage & Rent,SoFi Savings,,
2023-11-01,STOCKTON PMT,STOCKTON PMT,399.65,debit,Property Tax,SoFi Savings,,
2023-10-31,Interest earned,Interest earned,76.03,credit,Interest Income,SoFi Savings,,
2023-10-31,Interest earned,Interest earned,101.02,credit,Interest Income,SoFi Savings,,
2023-10-31,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-10-31,VENMO,VENMO,39.8,credit,Television,SoFi Savings,,
2023-10-30,VENMO,VENMO,135.74,debit,Transfer,SoFi Savings,,
2023-10-30,"BLOCK, INC.","BLOCK, INC.",3357.73,credit,Income,SoFi Savings,,
2023-10-27,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-10-26,AMEX EPAYMENT,AMEX EPAYMENT,105.12,debit,Credit Card Payment,SoFi Savings,,
2023-10-26,Comcast,COMCAST 8220188,20.83,debit,Internet,SoFi Savings,,
2023-10-24,GPC,GPC,106.73,debit,Electricity,SoFi Savings,,
2023-10-24,CHASE CREDIT CRD,CHASE CREDIT CRD,247.15,debit,Credit Card Payment,SoFi Savings,,
2023-10-19,DISCOVER,DISCOVER,1599.0,debit,Credit Card Payment,SoFi Savings,,
2023-10-18,IRS  TREAS 310,IRS  TREAS 310,2828.0,credit,Federal Tax,SoFi Savings,,
2023-10-16,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-10-13,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-10-12,"BLOCK, INC.","BLOCK, INC.",3357.74,credit,Income,SoFi Savings,,
2023-10-11,AMEX EPAYMENT,AMEX EPAYMENT,260.74,debit,Credit Card Payment,SoFi Savings,,
2023-10-05,VENMO,VENMO,100.0,credit,Transfer,SoFi Savings,,
2023-10-05,VENMO,VENMO,3.5,credit,Transfer,SoFi Savings,,
2023-10-05,VENMO,VENMO,20.0,debit,Transfer,SoFi Savings,,
2023-10-03,SOFI SECURITIES,SOFI SECURITIES,1.0,debit,Buy,SoFi Savings,,
2023-10-02,STOCKTON PMT,STOCKTON PMT,22.59,debit,Home Insurance,SoFi Savings,,
2023-10-02,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-10-02,THE CORNERSTONE,THE CORNERSTONE,37.88,debit,Water/Sewer,SoFi Savings,,
2023-10-02,THE CORNERSTONE,THE CORNERSTONE,402.03,debit,HOA,SoFi Savings,,
2023-10-02,STOCKTON PMT,STOCKTON PMT,399.65,debit,Property Tax,SoFi Savings,,
2023-10-02,STOCKTON PMT,STOCKTON PMT,1285.43,debit,Mortgage & Rent,SoFi Savings,,
2023-09-30,Interest earned,Interest earned,72.9,credit,Interest Income,SoFi Savings,,
2023-09-30,Interest earned,Interest earned,87.91,credit,Interest Income,SoFi Savings,,
2023-09-29,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-09-28,VENMO,VENMO,220.33,debit,Transfer,SoFi Savings,,
2023-09-28,"BLOCK, INC.","BLOCK, INC.",3502.44,credit,Income,SoFi Savings,,
2023-09-26,Comcast,COMCAST 8220188,25.0,debit,Internet,SoFi Savings,,
2023-09-25,AMEX EPAYMENT,AMEX EPAYMENT,522.0,debit,Credit Card Payment,SoFi Savings,,
2023-09-25,GPC,GPC,144.49,debit,Electricity,SoFi Savings,,
2023-09-25,CHASE CREDIT CRD,CHASE CREDIT CRD,111.83,debit,Credit Card Payment,SoFi Savings,,
2023-09-19,DISCOVER,DISCOVER,278.86,debit,Credit Card Payment,SoFi Savings,,
2023-09-18,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-09-15,SOFI SECURITIES,SOFI SECURITIES,995.11,debit,Transfer,SoFi Savings,,
2023-09-15,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-09-14,"BLOCK, INC.","BLOCK, INC.",3357.74,credit,Income,SoFi Savings,,
2023-09-14,"Square, Inc.","Square, Inc.",125.0,credit,SQ Utility Credit,SoFi Savings,,
2023-09-11,SLEEPER - 702-99,SLEEPER - 702-99,31.5,credit,Sports Betting,SoFi Savings,,
2023-09-11,SLEEPER - 702-99,SLEEPER - 702-99,1.0,debit,Sports Betting,SoFi Savings,,
2023-09-11,VENMO,VENMO,20.0,debit,Entertainment,SoFi Savings,,Monthly YouTube TV payment to Blake
2023-09-11,AMEX EPAYMENT,AMEX EPAYMENT,368.94,debit,Credit Card Payment,SoFi Savings,,
2023-09-08,Cash App,Cash App,80.0,credit,Income,SoFi Savings,,
2023-09-05,VENMO,VENMO,400.0,credit,Transfer,SoFi Savings,,
2023-09-05,SOFI SECURITIES,SOFI SECURITIES,1.0,debit,Buy,SoFi Savings,,
2023-09-01,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-09-01,Mobile Check Deposit,Mobile Check Deposit,6614.09,credit,Transfer,SoFi Savings,,
2023-09-01,THE CORNERSTONE,THE CORNERSTONE,33.77,debit,Water/Sewer,SoFi Savings,,
2023-09-01,THE CORNERSTONE,THE CORNERSTONE,402.03,debit,HOA,SoFi Savings,,
2023-09-01,STOCKTON PMT,STOCKTON PMT,399.65,debit,Property Tax,SoFi Savings,,
2023-09-01,STOCKTON PMT,STOCKTON PMT,1285.43,debit,Mortgage & Rent,SoFi Savings,,
2023-09-01,STOCKTON PMT,STOCKTON PMT,22.59,debit,Home Insurance,SoFi Savings,,
2023-08-31,REGIONS BANK,REGIONS BANK,0.99,debit,Transfer,SoFi Savings,,
2023-08-31,REGIONS BANK,REGIONS BANK,0.45,credit,Transfer,SoFi Savings,,
2023-08-31,REGIONS BANK,REGIONS BANK,0.54,credit,Transfer,SoFi Savings,,
